ID,Treatment,Weight,Weight_gain_percent,Food_Intake_weekly,Calories_weekly,Date,Week
35,HFD+LXN,28.4,11.81,21.1,108.1,2/19/19,2
36,HFD+LXN,24.9,5.51,20.7,106,2/19/19,2
37,HFD+HXN,28,0.72,17.4,89.1,2/19/19,2
38,HFD+HXN,25.8,8.4,19.2,98.3,2/19/19,2
39,HFD+HXN,29.4,18.55,21.8,111.7,2/19/19,2
40,HFD+HXN,27,7.57,21.9,112.2,2/19/19,2
41,HFD+HXN,28.1,11.95,20,102.4,2/19/19,2
42,HFD+HXN,32.4,20.9,21.8,111.7,2/19/19,2
43,HFD+HXN,27.3,8.76,18.6,95.3,2/19/19,2
44,HFD+HXN,27.2,10.12,19.8,101.4,2/19/19,2
45,HFD+HXN,28.5,12.2,18.9,96.8,2/19/19,2
46,HFD+HXN,26.4,11.39,17,87.1,2/19/19,2
47,HFD+HXN,31.5,15.38,20,102.4,2/19/19,2
48,HFD+HXN,26.5,11.81,20.4,104.5,2/19/19,2
49,HFD+TXN,27.6,6.15,20.5,105,2/19/19,2
51,HFD+TXN,27,8,19.3,98.9,2/19/19,2
52,HFD+TXN,26,6.12,21.7,111.1,2/19/19,2
53,HFD+TXN,29,9.43,21.9,112.2,2/19/19,2
54,HFD+TXN,22.1,0.91,16.8,86,2/19/19,2
55,HFD+TXN,26.4,10.46,18.9,96.8,2/19/19,2
56,HFD+TXN,28,1.82,27.7,141.9,2/19/19,2
57,HFD+TXN,29.8,11.19,39.7,203.3,2/19/19,2
58,HFD+TXN,26.3,4.78,22.1,113.2,2/19/19,2
59,HFD+TXN,25.3,-3.07,34.8,178.2,2/19/19,2
60,HFD+TXN,26.1,0,31.2,159.8,2/19/19,2
1,LFD,28.9,7.04,22.9,81.2,2/26/19,3
2,LFD,28.3,1.07,20.5,72.69,2/26/19,3
3,LFD,25.6,10.82,21,74.47,2/26/19,3
4,LFD,27.1,4.63,23.7,84.04,2/26/19,3
5,LFD,25.6,-0.39,22,78.01,2/26/19,3
6,LFD,29.7,12.93,23.2,82.27,2/26/19,3
7,LFD,27.8,8.59,20.5,72.69,2/26/19,3
8,LFD,26.8,3.08,23.6,83.68,2/26/19,3
9,LFD,28.5,8.78,23.2,82.27,2/26/19,3
10,LFD,24,1.27,19,67.37,2/26/19,3
11,LFD,28.1,9.34,20.3,71.98,2/26/19,3
12,LFD,30.1,16.22,23.8,84.39,2/26/19,3
13,HFD,29.4,20.99,20.8,106.54,2/26/19,3
14,HFD,32.2,35.29,22.5,115.24,2/26/19,3
15,HFD,32.1,26.38,19.6,100.39,2/26/19,3
16,HFD,33.8,22.91,20.1,102.95,2/26/19,3
17,HFD,31,26.53,19.1,97.83,2/26/19,3
18,HFD,29.8,17.32,18.7,95.78,2/26/19,3
19,HFD,29.2,11.88,18.8,96.29,2/26/19,3
20,HFD,32.2,22.9,20.3,103.98,2/26/19,3
21,HFD,34.5,32.69,19.9,101.93,2/26/19,3
22,HFD,30.1,17.58,18.1,92.71,2/26/19,3
23,HFD,27.3,12.81,19.9,101.93,2/26/19,3
24,HFD,32.1,25.88,20.7,106.03,2/26/19,3
25,HFD+LXN,29.3,6.93,17.8,91.17,2/26/19,3
26,HFD+LXN,30.6,17.24,19.1,97.83,2/26/19,3
27,HFD+LXN,31.4,21.71,20.4,104.49,2/26/19,3
28,HFD+LXN,34.6,32.57,22.1,113.2,2/26/19,3
29,HFD+LXN,30.6,17.24,17.6,90.15,2/26/19,3
30,HFD+LXN,32.5,27.95,21.5,110.12,2/26/19,3
31,HFD+LXN,34.8,27.94,23,117.81,2/26/19,3
