ID,Treatment,Weight,Weight_gain_percent,Food_Intake_weekly,Calories_weekly,Date,Week
51,HFD+TXN,43.1,72.4,17.4,89.12,5/14/19,14
52,HFD+TXN,40,63.27,17.4,89.12,5/14/19,14
53,HFD+TXN,47.4,78.87,19,97.32,5/14/19,14
54,HFD+TXN,35.4,61.64,16.8,86.05,5/14/19,14
55,HFD+TXN,37.9,58.58,17.4,89.12,5/14/19,14
56,HFD+TXN,37.5,36.36,19.3,98.85,5/14/19,14
57,HFD+TXN,49.7,85.45,22.4,114.73,5/14/19,14
58,HFD+TXN,40.6,61.75,19.1,97.83,5/14/19,14
59,HFD+TXN,33.6,28.74,29.8,152.64,5/14/19,14
60,HFD+TXN,38.3,46.74,21.5,110.12,5/14/19,14
1,LFD,38.6,42.96,23.2,82.27,5/21/19,15
2,LFD,32.9,17.5,24,85.1,5/21/19,15
3,LFD,36.1,56.28,24.4,86.52,5/21/19,15
4,LFD,42.7,64.86,33.2,117.73,5/21/19,15
5,LFD,31.9,24.12,25.2,89.36,5/21/19,15
6,LFD,38.3,45.63,24.8,87.94,5/21/19,15
7,LFD,33.8,32.03,23.2,82.27,5/21/19,15
8,LFD,43,65.38,33.3,118.08,5/21/19,15
9,LFD,39.7,51.53,28,99.29,5/21/19,15
10,LFD,33.6,41.77,24.6,87.23,5/21/19,15
11,LFD,35.9,39.69,25,88.65,5/21/19,15
12,LFD,38.8,49.81,26.8,95.03,5/21/19,15
13,HFD,47.6,95.88,20.5,105,5/21/19,15
14,HFD,51.9,118.07,22.9,117.29,5/21/19,15
15,HFD,50.6,99.21,18.4,94.24,5/21/19,15
16,HFD,52.2,89.82,19.9,101.93,5/21/19,15
17,HFD,44.6,82.04,21,107.56,5/21/19,15
18,HFD,51.2,101.57,21.3,109.1,5/21/19,15
19,HFD,47.2,80.84,26.1,133.68,5/21/19,15
20,HFD,50.4,92.37,20.3,103.98,5/21/19,15
21,HFD,51.5,98.08,19.4,99.37,5/21/19,15
22,HFD,49.7,94.14,20.6,105.51,5/21/19,15
23,HFD,47.3,95.45,20,102.44,5/21/19,15
24,HFD,50,96.08,18.5,94.76,5/21/19,15
25,HFD+LXN,51.6,88.32,21.3,109.1,5/21/19,15
26,HFD+LXN,52.5,101.15,21.1,108.07,5/21/19,15
27,HFD+LXN,50.6,96.12,21.6,110.64,5/21/19,15
28,HFD+LXN,51.3,96.55,23.2,118.83,5/21/19,15
29,HFD+LXN,51.3,96.55,20.5,105,5/21/19,15
30,HFD+LXN,52.7,107.48,21,107.56,5/21/19,15
31,HFD+LXN,51.8,90.44,24.5,125.49,5/21/19,15
32,HFD+LXN,47.2,87.3,18.5,94.76,5/21/19,15
33,HFD+LXN,51.6,77.93,21.6,110.64,5/21/19,15
34,HFD+LXN,49,84.91,20.1,102.95,5/21/19,15
35,HFD+LXN,47.2,85.83,21,107.56,5/21/19,15
36,HFD+LXN,39,65.25,18.5,94.76,5/21/19,15
37,HFD+HXN,46,65.47,19.7,100.9,5/21/19,15
38,HFD+HXN,45.3,90.34,21.7,111.15,5/21/19,15
39,HFD+HXN,51.2,106.45,19.2,98.34,5/21/19,15
40,HFD+HXN,46.1,83.67,19.9,101.93,5/21/19,15
41,HFD+HXN,50.1,99.6,22.3,114.22,5/21/19,15
42,HFD+HXN,53.4,99.25,18.8,96.29,5/21/19,15
43,HFD+HXN,40.9,62.95,16.9,86.56,5/21/19,15
44,HFD+HXN,43,74.09,20.9,107.05,5/21/19,15
45,HFD+HXN,46.6,83.46,14.1,72.22,5/21/19,15
46,HFD+HXN,39.3,65.82,22.5,115.24,5/21/19,15
47,HFD+HXN,51.9,90.11,20.1,102.95,5/21/19,15
48,HFD+HXN,47.8,101.69,16.4,84,5/21/19,15
49,HFD+TXN,40,53.85,21.1,108.07,5/21/19,15
51,HFD+TXN,45,80,18.4,94.24,5/21/19,15
52,HFD+TXN,41.3,68.57,18.4,94.24,5/21/19,15
53,HFD+TXN,49.2,85.66,21.2,108.59,5/21/19,15
54,HFD+TXN,36.5,66.67,17.9,91.68,5/21/19,15
55,HFD+TXN,39,63.18,18.1,92.71,5/21/19,15
56,HFD+TXN,38.5,40,19.5,99.88,5/21/19,15
57,HFD+TXN,51.1,90.67,23.4,119.85,5/21/19,15
58,HFD+TXN,42.1,67.73,21.3,109.1,5/21/19,15
59,HFD+TXN,35,34.1,18.5,94.76,5/21/19,15
60,HFD+TXN,39,49.43,19.8,101.42,5/21/19,15
1,LFD,38.4,42.22,21.9,77.66,5/28/19,16
2,LFD,33.1,18.21,22.1,78.37,5/28/19,16
3,LFD,35.7,54.55,20.6,73.05,5/28/19,16
4,LFD,43,66.02,33.6,119.14,5/28/19,16
5,LFD,32.2,25.29,24.5,86.88,5/28/19,16
6,LFD,39.5,50.19,29.9,106.02,5/28/19,16
7,LFD,34.3,33.98,23.3,82.62,5/28/19,16
8,LFD,43.3,66.54,34.9,123.75,5/28/19,16
9,LFD,40.5,54.58,33.5,118.79,5/28/19,16
10,LFD,34.2,44.3,30.1,106.73,5/28/19,16
11,LFD,36.6,42.41,29.6,104.96,5/28/19,16
12,LFD,39.2,51.35,34,120.56,5/28/19,16
13,HFD,48.9,101.23,20,102.44,5/28/19,16
14,HFD,52.2,119.33,21.8,111.66,5/28/19,16
15,HFD,51.6,103.15,18.9,96.81,5/28/19,16
16,HFD,52.9,92.36,23.6,120.88,5/28/19,16
17,HFD,46.5,89.8,22.8,116.78,5/28/19,16
18,HFD,51.8,103.94,24.1,123.44,5/28/19,16
19,HFD,47.3,81.23,26.2,134.2,5/28/19,16
20,HFD,50.7,93.51,25.5,130.61,5/28/19,16
21,HFD,52.3,101.15,23.6,120.88,5/28/19,16
22,HFD,50,95.31,26.6,136.25,5/28/19,16
23,HFD,48.7,101.24,26.3,134.71,5/28/19,16
24,HFD,50.2,96.86,26.8,137.27,5/28/19,16
25,HFD+LXN,52.7,92.34,18.8,96.29,5/28/19,16
26,HFD+LXN,52.4,100.77,23.8,121.9,5/28/19,16
27,HFD+LXN,51.2,98.45,17.3,88.61,5/28/19,16
28,HFD+LXN,51.2,96.17,24.8,127.03,5/28/19,16
29,HFD+LXN,51.8,98.47,25.3,129.59,5/28/19,16
30,HFD+LXN,53.3,109.84,26,133.17,5/28/19,16
31,HFD+LXN,50.7,86.4,25.7,131.64,5/28/19,16
32,HFD+LXN,47.2,87.3,25.1,128.56,5/28/19,16
33,HFD+LXN,51.3,76.9,28.7,147,5/28/19,16
34,HFD+LXN,50.2,89.43,26,133.17,5/28/19,16
35,HFD+LXN,47.7,87.8,29.3,150.07,5/28/19,16
36,HFD+LXN,39.4,66.95,29.8,152.64,5/28/19,16
37,HFD+HXN,47.3,70.14,16.7,85.54,5/28/19,16
38,HFD+HXN,46,93.28,19.4,99.37,5/28/19,16
39,HFD+HXN,50.5,103.63,16.6,85.03,5/28/19,16
40,HFD+HXN,47.3,88.45,19,97.32,5/28/19,16
41,HFD+HXN,50.4,100.8,15.3,78.37,5/28/19,16
42,HFD+HXN,53.4,99.25,29.7,152.12,5/28/19,16
43,HFD+HXN,41.8,66.53,22.8,116.78,5/28/19,16
44,HFD+HXN,44,78.14,22.4,114.73,5/28/19,16
45,HFD+HXN,46.7,83.86,19.5,99.88,5/28/19,16
46,HFD+HXN,40.8,72.15,34.5,176.71,5/28/19,16
47,HFD+HXN,51.7,89.38,25.3,129.59,5/28/19,16
48,HFD+HXN,48.8,105.91,13.7,70.17,5/28/19,16
49,HFD+TXN,40.8,56.92,15.4,78.88,5/28/19,16
51,HFD+TXN,45.9,83.6,15.9,81.44,5/28/19,16
52,HFD+TXN,42.1,71.84,16.6,85.03,5/28/19,16
53,HFD+TXN,50.4,90.19,16.1,82.46,5/28/19,16
54,HFD+TXN,36.6,67.12,19.1,97.83,5/28/19,16
55,HFD+TXN,39.6,65.69,19.2,98.34,5/28/19,16
56,HFD+TXN,39.6,44,22,112.68,5/28/19,16
57,HFD+TXN,51.9,93.66,27.5,140.85,5/28/19,16
58,HFD+TXN,43.3,72.51,21.8,111.66,5/28/19,16
59,HFD+TXN,34.7,32.95,29.5,151.1,5/28/19,16
60,HFD+TXN,39.2,50.19,27.9,142.9,5/28/19,16
