ID,Treatment,food_cum,Cal_cum,BMD,BMC,Bone_Area,Fat_percent   ,TTM,TAM,Fat_mass,Lean_mass,wt,wt_gained,liver_wt,lv_pct,bat_wt,subq_wt,epi_wat,mesenteric_wt,epiWatpct,epi2wt,fecal_fat,fecal_tot_output,CHL_plasma_baseline,CHL_plasma_mid,CHL_plasma_end,glucose_plasma,insulin_plasma,wt_gain_pct,TG_feces2,total_CHL,LDL,HDL,total_TAG,CHL_feces2,HOMA,leptin,leptin_new,LV_TC,LV_TAG,TG_feces,CHL_feces,ketone,lipidosis_area_pct
25,HFD+LXN,321.01,1644.212,0.057,0.586,10.28,49.84,43.55,44.136,21.705,21.845,52.7,92.34,2.35,4.459203036,0.27,1.6,2.72,1.57,12.53,5.16,30.03,0.98,143.61,139.41,176.557,161.54,1.033,92.34,154,176.56,83.029,141.015,61.094,566.4,0.927,39.155,8.448,22.669,508.56,30.03,110.448,0.788,11.407
26,HFD+LXN,336.91,1725.651,0.056,0.552,9.87,45.61,44.14,44.692,20.132,24.008,52.4,100.77,2.72,5.190839695,0.29,2.14,2.35,1.6,11.67,4.48,26.13,0.92,161.35,172.56,195.609,145.08,1.392,100.77,134,195.61,124.578,141.786,42.285,513.2,1.122,37.488,7.105,21.06,657.15,26.13,100.074,0.578,11.176
27,HFD+LXN,355.98,1823.328,0.056,0.569,10.19,45.28,42.28,42.849,19.144,23.136,51.2,98.45,2.78,5.4296875,0.4,2.27,2.04,1.09,10.66,3.98,30.03,0.72,69.61,98.46,146.42,127.16,1.596,98.45,153.667,146.42,84.845,85.728,42.707,545.6,1.127,38.645,7.336,20.231,521.43,30.03,106.392,0.566,18.832
28,HFD+LXN,359.32,1840.435,0.058,0.586,10.05,44.41,43.43,44.016,19.287,24.143,51.2,96.17,2.4,4.6875,0.24,2.12,2.06,1.17,10.68,4.02,26.715,1.06,61.25,118.15,131.406,110.64,1.428,96.17,137,131.41,87.541,99.315,58.321,519.2,0.878,39.917,7.824,17.696,542.49,26.715,101.244,0.582,19.763
29,HFD+LXN,344.36,1763.81,0.06,0.583,9.67,46.36,43.51,44.093,20.171,23.339,51.8,98.47,2.46,4.749034749,0.27,2.1,2.15,1.29,10.66,4.15,28.47,0.96,124.93,160.75,198.375,143.52,1.156,98.47,146,198.38,134.374,111.288,42.345,397.2,0.922,42.419,8.831,18.525,469.17,28.47,77.454,0.59,18.4
30,HFD+LXN,340.77,1745.422,0.057,0.555,9.77,46.57,44.72,45.275,20.826,23.894,53.3,109.84,3,5.628517824,0.37,2.47,2.49,1.52,11.96,4.67,13.065,1,127.47,163.12,215.474,158.48,2.711,109.84,67,215.47,155.066,164.124,49.972,354.4,2.387,37.548,8.474,22.328,547.95,13.065,69.108,0.444,20.233
31,HFD+LXN,383.8,1965.822,0.057,0.58,10.11,41.13,43.17,43.75,17.756,25.414,50.7,86.4,2.01,3.964497041,0.3,2.1,1.54,1.11,8.67,3.04,21.06,1.16,63.36,107.97,103.745,130.58,2.577,86.4,108,103.75,53.971,86.085,36.709,448,1.869,32.765,5.226,20.134,565.11,21.06,87.36,0.477,14.866
32,HFD+LXN,321.9,1648.77,0.056,0.536,9.61,47.02,39.93,40.466,18.775,21.155,47.2,87.3,2.35,4.978813559,0.32,1.6,2,1.35,10.65,4.24,13.455,0.95,124.27,175.02,210.349,155.99,1.676,87.3,69.333,210.35,172.677,119.802,42.948,334.8,1.452,38.37,7.668,22.084,678.6,13.455,65.286,0.655,13.098
33,HFD+LXN,355.2,1819.333,0.056,0.561,10.03,46.67,44.16,44.721,20.609,23.551,51.3,76.9,3.14,6.1208577,0.25,2.3,2.07,1.2,10.04,4.04,26.52,0.9,165.49,192.41,212.483,137.12,4.714,76.9,89,212.48,135.09,151.107,44.727,419.6,3.591,39.522,8.629,17.014,707.07,26.52,81.822,0.465,11.695
34,HFD+LXN,339.6,1739.43,0.057,0.568,10.03,50.18,42.25,42.818,21.201,21.049,50.2,89.43,2.25,4.482071713,0.32,2.53,2.72,1.36,12.83,5.42,23.4,0.96,120.28,172.64,208.283,181.09,2.382,89.43,120.333,208.28,128.871,107.934,51.539,399.2,2.396,41.672,9.452,18.915,692.25,23.4,77.844,0.428,17.491
35,HFD+LXN,373.5,1913.065,0.06,0.566,9.44,46.42,40.45,41.016,18.777,21.673,47.7,87.8,1.69,3.542976939,0.3,1.82,2.65,1.06,14.11,5.56,39.78,0.9,125.07,169,156.306,150.27,1.5,87.8,121,156.31,89.908,126.921,49.248,210.4,1.252,37.403,6.572,16.819,621.27,39.78,41.028,0.481,4.87
36,HFD+LXN,304.4,1559.135,0.052,0.407,7.78,38.75,33.25,33.657,12.884,20.366,39.4,66.95,1.18,2.994923858,0.25,1.03,2.82,0.53,21.89,7.16,35.295,0.81,121.73,175.39,185.686,152.52,0.808,66.95,204.333,185.69,81.433,143.046,58.984,214,0.685,31.541,4.82,19.159,501.54,35.295,41.73,0.554,0.302
37,HFD+HXN,303.04,1552.169,0.051,0.43,8.41,45.33,38.83,39.26,17.602,21.228,47.3,70.14,1.83,3.868921776,0.24,1.57,2.75,1.27,15.62,5.81,37.44,0.78,159.6,151.9,194.841,139.21,1.469,70.14,192.333,194.84,103.721,108.207,42.617,362,1.136,42.537,9.455,24.619,368.55,37.44,70.59,0.707,8.501
38,HFD+HXN,325.31,1666.236,0.051,0.404,7.99,41.68,37.83,38.234,15.768,22.062,46,93.28,1.21,2.630434783,0.18,1.27,3.05,1.22,19.34,6.63,28.08,0.74,54.85,87.75,111.629,119.33,0.376,93.28,143.667,111.63,58.704,74.874,52.624,447.6,0.249,41.737,8.992,22.425,458.25,28.08,87.282,0.517,3.718
39,HFD+HXN,320.18,1639.96,0.056,0.486,8.73,48.76,43.27,43.756,21.098,22.172,50.5,103.63,2.35,4.653465347,0.24,2.52,2.61,1.53,12.37,5.17,24.765,0.85,126.09,175.46,206.058,166.51,1.484,103.63,127,206.06,147.747,130.266,53.92,501.6,1.373,40.386,7.905,18.915,603.33,24.765,97.812,0.57,16.618
