Time,Diet,Cycle,MouseID,EE,EE_30,VO2,VCO2,RQ,VH2O,updateN,uptakeSum,AllMeters,PedMeters,PedSpeed,Walk_pct,Still_pct,Sleep_pct,Sleep_hrs
Cycle2:03:00-04:00,HFD,dark,15,0.6280425,0.2740557,1.010071,0.789852,0.7802252,0.04956065,1,0.2669449,4.344086,2.630371,0.009206879,12.97222,81.55556,80.11111,0.8008333
Cycle2:04:00-05:00,HFD,dark,15,0.6894397,0.2983669,1.039005,0.8118342,0.7786102,0.058572,1,0.1544762,4.006805,2.278351,0.01089356,11.66343,83.22688,81.00528,0.8101389
Cycle2:05:00-06:00,HFD,dark,15,0.6835919,0.2709165,1.085583,0.8374019,0.7672935,0.06388941,1,0.05240822,12.69037,9.025009,0.01078139,36.48987,61.37184,53.59622,0.5361111
Cycle1:06:00-07:00,HFD,light,16,0.559727,0.2342863,0.8616121,0.642658,0.7441612,0.05114606,0,0,0.3835297,0.2664185,0.006045081,1.610216,98.38978,98.33426,0.9836111
Cycle1:07:00-08:00,HFD,light,16,0.5952148,0.2366414,0.8665314,0.7050791,0.8135904,0.03932625,0,0,2.829956,2.240204,0.009930793,7.944445,91.88889,89.47222,0.8945833
Cycle1:08:00-09:00,HFD,light,16,0.549913,0.2580641,0.8796887,0.6835382,0.7741938,0.04451096,0,0,0.3500061,0.3247833,0.01616516,0.5830094,99.41699,99.41699,0.9945833
Cycle1:09:00-10:00,HFD,light,16,0.5537457,0.2484719,0.8317674,0.6343478,0.7613769,0.03781049,0,0,0,0,.,0,100,100,0.9997222
Cycle1:10:00-11:00,HFD,light,16,0.7158981,0.2599676,1.101075,0.8660875,0.7837934,0.05590735,0,0,11.93143,9.196899,0.01195777,32.43544,67.25909,60.95529,0.6094444
Cycle1:11:00-12:00,HFD,light,16,0.5493495,0.2400563,0.8514705,0.6346917,0.745705,0.03807682,0,0,0,0,.,0,100,100,1
Cycle1:12:00-13:00,HFD,light,16,0.655673,0.2813129,1.008471,0.8146565,0.8033301,0.04108569,1,0.0769496,6.885925,5.488342,0.008820036,21.65464,74.90283,72.01555,0.7202778
Cycle1:13:00-14:00,HFD,light,16,0.5363913,0.2435582,0.8212526,0.6184582,0.7534527,0.03006446,0,0,0,0,.,0,100,100,0.9997222
Cycle1:14:00-15:00,HFD,light,16,0.6009758,0.2294756,0.8794326,0.6893057,0.7794662,0.0365053,1,0.1034584,2.431076,1.781662,0.009548787,8.60633,86.59078,85.23043,0.8526389
Cycle1:15:00-16:00,HFD,light,16,0.5372002,0.2352544,0.856028,0.6802921,0.7868479,0.01566113,1,0.01174998,4.38504,3.352921,0.009696566,13.86111,84.77778,82.58333,0.8256944
Cycle1:16:00-17:00,HFD,light,16,0.6712659,0.2534082,1.006132,0.780687,0.7728374,0.05591558,2,0.06932712,4.341644,3.448059,0.01149942,11.91336,84.89307,83.9489,0.8394445
Cycle1:17:00-18:00,HFD,light,16,0.5982139,0.2573518,0.9043996,0.6926057,0.7640746,0.03858892,0,0,0,0,.,0,100,100,1
Cycle1:18:00-19:00,HFD,dark,16,0.7435287,0.2832599,1.12168,0.8951399,0.7956965,0.04506736,3,0.2366445,14.84508,12.507,0.01475836,30.17768,62.88173,62.07662,0.6209722
Cycle1:19:00-20:00,HFD,dark,16,0.8309106,0.3482553,1.244389,0.9851839,0.7930276,0.06132519,4,1.02065,37.78009,32.63547,0.01564638,79.61111,17.77778,8.944445,0.08944444
Cycle1:20:00-21:00,HFD,dark,16,0.6261025,0.2983432,0.9935212,0.7581981,0.7640805,0.06618349,1,0.5385237,2.928589,2.329773,0.01484403,7.468073,90.14437,89.03387,0.8906944
Cycle1:21:00-22:00,HFD,dark,16,0.672471,0.2637991,0.9717808,0.7865217,0.8085902,0.05875097,1,0.07698631,2.601654,1.914871,0.01532258,6.027778,90.83334,90.66667,0.9065278
Cycle1:22:00-23:00,HFD,dark,16,0.7413523,0.2978539,1.187823,0.9398653,0.788903,0.07887773,2,0.5625095,16.55975,12.35899,0.01055237,47.51458,43.43238,38.29492,0.3829167
Cycle1:23:00-00:00,HFD,dark,16,0.5910679,0.264917,0.9112725,0.713115,0.7825907,0.06155432,0,0,0.3270569,0.2574463,0.006398829,1.444043,98.55596,98.02834,0.9802778
Cycle1:00:00-01:00,HFD,dark,16,0.5887064,0.2489545,0.8928238,0.7074789,0.7916471,0.05848541,0,0,0.7786865,0.6869202,0.01171704,2.304275,97.69573,97.30705,0.9733334
Cycle1:01:00-02:00,HFD,dark,16,0.5387573,0.2357486,0.8198838,0.651759,0.7952688,0.03953946,0,0,0.3423462,0.2937012,0.009810909,1.361111,98.63889,97.80555,0.9777778
Cycle1:02:00-03:00,HFD,dark,16,0.5676016,0.2532882,0.8472703,0.6462333,0.7606975,0.04282003,0,0,0,0,.,0,100,100,1.000278
Cycle1:03:00-04:00,HFD,dark,16,0.633661,0.2726829,0.9780334,0.7713928,0.7874551,0.0469086,1,0.4987278,1.882965,1.193512,0.009051859,6.166667,91.47222,89.83333,0.8980556
Cycle1:04:00-05:00,HFD,dark,16,0.6711955,0.2906944,0.9741911,0.7769443,0.794453,0.0532156,0,0,3.86145,3.274841,0.0142414,7.942238,92.05776,90.25271,0.9025
Cycle1:05:00-06:00,HFD,dark,16,0.7832336,0.3368915,1.232898,0.9514285,0.7710959,0.0731299,3,0.008787632,28.55386,23.09862,0.01344964,67.17578,28.2977,13.85726,0.1384722
Cycle2:06:00-07:00,HFD,light,16,0.5927558,0.2448412,0.9249642,0.6835589,0.7398325,0.06650814,3,0.1041551,9.283417,7.828308,0.01099036,25.7357,71.62687,69.57246,0.6959722
Cycle2:07:00-08:00,HFD,light,16,0.4905254,0.215183,0.7596732,0.5615646,0.7396184,0.04833934,0,0,0,0,.,0,100,100,0.9997222
Cycle2:08:00-09:00,HFD,light,16,0.6428393,0.2538201,0.9638017,0.7615602,0.7879074,0.05678213,2,0.07935905,12.46478,9.399872,0.01084753,34.73071,61.91005,57.16269,0.5716667
Cycle2:09:00-10:00,HFD,light,16,0.5088382,0.2307154,0.7759683,0.5838518,0.7521383,0.05499216,0,0,0,0,.,0,100,100,0.9997222
Cycle2:10:00-11:00,HFD,light,16,0.4917639,0.2268625,0.7813272,0.5790868,0.7400594,0.04847223,0,0,0,0,.,0,100,100,1
Cycle2:11:00-12:00,HFD,light,16,0.5152311,0.2252827,0.7827825,0.5943639,0.7585837,0.03185119,0,0,0.1125183,0.1025085,0.004174369,0.888642,99.11136,98.80589,0.9880555
Cycle2:12:00-13:00,HFD,light,16,0.526067,0.2328224,0.8195336,0.6152033,0.7494642,0.049146,1,0.03693771,0.432251,0.256897,0.006318913,1.332593,94.22543,94.22543,0.9425
Cycle2:13:00-14:00,HFD,light,16,0.5490093,0.2395096,0.8317751,0.6452228,0.7752981,0.0421171,0,0,0.005004883,0,.,0,100,100,0.9997222
Cycle2:14:00-15:00,HFD,light,16,0.6995264,0.2512289,1.046716,0.8112433,0.7739736,0.0496919,2,0.05048037,13.25723,10.96033,0.01329591,33.28706,59.99445,54.55303,0.5456945
Cycle2:15:00-16:00,HFD,light,16,0.5087707,0.218285,0.8031147,0.5977762,0.7428563,0.04329925,0,0,0.6929321,0.5480957,0.009524282,1.944445,98.05555,98.05555,0.9804167
Cycle2:16:00-17:00,HFD,light,16,0.5319978,0.2183455,0.8030273,0.6040648,0.7504022,0.03469354,0,0,0.06750488,0.05499268,0.004192098,0.444321,99.55568,99.55568,0.9955556
Cycle2:17:00-18:00,HFD,light,16,0.6055759,0.2603525,0.8972854,0.7034487,0.7818673,0.03463385,1,0.1257582,0.7757568,0.464325,0.004971407,3.471258,93.50182,92.6687,0.9266667
Cycle2:18:00-19:00,HFD,dark,16,0.7742468,0.3084941,1.157875,0.9103389,0.7863718,0.05232293,4,0.1715755,20.64056,17.79263,0.01693321,41.19933,52.22099,47.50139,0.4751389
Cycle2:19:00-20:00,HFD,dark,16,0.5957134,0.2327661,0.9368121,0.7270511,0.7732592,0.05673348,1,0.1564426,7.387177,6.420197,0.01421739,16.41667,80.52779,76.86111,0.7684722
Cycle2:20:00-21:00,HFD,dark,16,0.8135552,0.3545615,1.221531,0.969679,0.7925153,0.07378718,2,0.232163,24.87314,20.27457,0.0132384,58.88395,33.42587,29.51138,0.295
Cycle2:21:00-22:00,HFD,dark,16,0.5693794,0.2480184,0.8883668,0.6982563,0.7843587,0.05901381,0,0,0.2176819,0.087677,0.003700256,0.8055556,99.19444,99.13889,0.9911111
Cycle2:22:00-23:00,HFD,dark,16,0.6261433,0.2657272,0.927066,0.7295424,0.7858384,0.0504552,1,0.1459985,0.4028931,0.2504883,0.008309641,1.471813,96.66759,96.66759,0.9666666
Cycle2:23:00-00:00,HFD,dark,16,0.7379565,0.2792726,1.11747,0.8771936,0.7838067,0.06724587,2,0.1111484,12.90628,10.82428,0.01467445,27.99222,65.9539,63.03805,0.6302778
Cycle2:00:00-01:00,HFD,dark,16,0.5763221,0.2417066,0.9145107,0.6874618,0.750533,0.07325216,1,0.07360935,3.712311,2.687317,0.009456566,11.02165,87.7568,85.45253,0.8547222
Cycle2:01:00-02:00,HFD,dark,16,0.6080278,0.2752773,0.9186596,0.7196262,0.7805353,0.0549114,1,0.8207331,0.8140259,0.5906982,0.007892918,3.055556,94.5,94.47221,0.9444444
Cycle2:02:00-03:00,HFD,dark,16,0.5840058,0.2552554,0.8872303,0.6841306,0.7700469,0.05697387,0,0,0.4990234,0.3708496,0.008495952,2.109939,97.89006,96.77957,0.9680555
Cycle2:03:00-04:00,HFD,dark,16,0.5910819,0.2731565,0.90797,0.7384034,0.8131821,0.04101475,0,0,0.7669067,0.5461121,0.005903063,3.055556,96.94445,95.75,0.9572222
Cycle2:04:00-05:00,HFD,dark,16,0.6980646,0.2877599,1.07667,0.8666057,0.8031452,0.05879104,0,0,13.40454,10.93082,0.01346886,32.26881,67.6201,61.01083,0.61
Cycle2:05:00-06:00,HFD,dark,16,0.6654293,0.2884018,1.017558,0.8007152,0.7813076,0.05867824,1,0.1387882,8.297028,6.893707,0.01329132,20.43877,78.14496,75.97889,0.7597222
Cycle1:06:00-07:00,HFD,light,17,0.5102784,0.2555813,0.9084679,0.6550187,0.7193007,0.09054763,1,0.1215682,2.851761,2.337296,0.01347514,6.774014,90.69961,90.3387,0.90375
Cycle1:07:00-08:00,HFD,light,17,0.4896263,0.2427029,0.8625072,0.6666921,0.7716914,0.08922604,1,0.06000519,0.964859,0.6931305,0.009219259,3.527778,94.16667,92.58333,0.9256945
Cycle1:08:00-09:00,HFD,light,17,0.468466,0.247676,0.871489,0.6728205,0.7725508,0.07831753,1,0.05369782,0.6255035,0.449295,0.007923807,2.332038,95.2804,95.22488,0.9525
Cycle1:09:00-10:00,HFD,light,17,0.4696024,0.2260885,0.8581558,0.6558205,0.762452,0.07978601,1,0.112093,1.251709,0.9563141,0.01055615,3.027778,93.97222,93.88889,0.9386111
Cycle1:10:00-11:00,HFD,light,17,0.4471961,0.2248872,0.8566303,0.6514558,0.757753,0.07259701,1,0.008585453,1.297455,0.8644409,0.007131645,6.137184,92.80756,90.25271,0.9025
Cycle1:11:00-12:00,HFD,light,17,0.470037,0.2354809,0.8477817,0.6502646,0.7665007,0.02539984,1,0.6986818,1.190292,0.7611237,0.008030315,4.831991,91.08581,90.53041,0.9052778
Cycle1:12:00-13:00,HFD,light,17,0.4717045,0.2230463,0.7813741,0.6842876,0.8748352,-0.01895196,0,0,0.8443451,0.6515656,0.009433323,2.776235,97.22375,96.83509,0.9686111
