Time,Diet,Cycle,MouseID,EE,VO2,VCO2,VH2O,RER
Cycle1:22:00-23:00,LFD,dark,3,0.5955211,2.002698,1.837902,0.1714454,0.913475
Cycle1:23:00-00:00,LFD,dark,3,0.5210666,1.783864,1.495693,0.139844,0.8378829
Cycle1:00:00-01:00,LFD,dark,3,0.6483014,2.191761,1.959577,0.1672944,0.8849654
Cycle1:01:00-02:00,LFD,dark,3,0.5156827,1.741642,1.565008,0.1340524,0.8976978
Cycle1:02:00-03:00,LFD,dark,3,0.5173562,1.757752,1.532823,0.1346647,0.871353
Cycle1:03:00-04:00,LFD,dark,3,0.5584605,1.889792,1.68174,0.1304977,0.8890502
Cycle1:04:00-05:00,LFD,dark,3,0.7874516,2.661017,2.384382,0.1528787,0.8957099
Cycle1:05:00-06:00,LFD,dark,3,0.7062481,2.388773,2.130785,0.1655274,0.8934823
Cycle2:06:00-07:00,LFD,light,3,0.5643142,1.911799,1.691535,0.1509679,0.8802997
Cycle2:07:00-08:00,LFD,light,3,0.4468359,1.542051,1.238735,0.1051084,0.8024141
Cycle2:08:00-09:00,LFD,light,3,0.5408177,1.858113,1.528756,0.1021689,0.8138229
Cycle2:09:00-10:00,LFD,light,3,0.453132,1.558149,1.276253,0.106594,0.8183078
Cycle2:10:00-11:00,LFD,light,3,0.4969632,1.727112,1.334694,0.1004789,0.7715757
Cycle2:11:00-12:00,LFD,light,3,0.5112011,1.753517,1.455162,0.0672498,0.8256112
Cycle2:12:00-13:00,LFD,light,3,0.4813677,1.665318,1.319872,0.1059952,0.7914428
Cycle2:13:00-14:00,LFD,light,3,0.5041142,1.697066,1.549518,0.09850448,0.9111707
Cycle2:14:00-15:00,LFD,light,3,0.4216365,1.432333,1.249956,0.09694333,0.8709638
Cycle2:15:00-16:00,LFD,light,3,0.4973845,1.699496,1.439448,0.07762038,0.845563
Cycle2:16:00-17:00,LFD,light,3,0.4846483,1.623467,1.518434,0.07605746,0.9381282
Cycle2:17:00-18:00,LFD,light,3,0.4580952,1.565619,1.324426,0.07646691,0.8442268
Cycle2:18:00-19:00,LFD,dark,3,0.652258,2.182235,2.053144,0.1143967,0.9411265
Cycle2:19:00-20:00,LFD,dark,3,0.718072,2.404344,2.253478,0.148784,0.935356
Cycle2:20:00-21:00,LFD,dark,3,0.6967439,2.32441,2.216905,0.1789725,0.9504093
Cycle2:21:00-22:00,LFD,dark,3,0.6402898,2.134429,2.04314,0.1728552,0.9562679
Cycle2:22:00-23:00,LFD,dark,3,0.4985283,1.669599,1.563215,0.1529454,0.9353116
Cycle2:23:00-00:00,LFD,dark,3,0.5587576,1.857403,1.80163,0.1615418,0.9668307
Cycle2:00:00-01:00,LFD,dark,3,0.5092422,1.694326,1.636556,0.154567,0.9643703
Cycle2:01:00-02:00,LFD,dark,3,0.5934945,1.971439,1.918748,0.1310669,0.9714524
Cycle2:02:00-03:00,LFD,dark,3,0.4582196,1.533712,1.439994,0.1376078,0.939303
Cycle2:03:00-04:00,LFD,dark,3,0.5897411,1.973651,1.854302,0.1172721,0.938189
Cycle2:04:00-05:00,LFD,dark,3,0.73474,2.452509,2.333027,0.1701801,0.9510046
Cycle2:05:00-06:00,LFD,dark,3,0.7602704,2.547952,2.377661,0.1744519,0.9324718
Cycle1:06:00-07:00,LFD,light,4,0.8447935,2.908491,2.366661,0.2148704,0.8138297
Cycle1:07:00-08:00,LFD,light,4,0.8087754,2.791669,2.240166,0.1942316,0.8030611
Cycle1:08:00-09:00,LFD,light,4,0.6766776,2.350052,1.82315,0.1939864,0.7705213
Cycle1:09:00-10:00,LFD,light,4,0.6454887,2.25298,1.699051,0.1349281,0.7507414
Cycle1:10:00-11:00,LFD,light,4,0.6401997,2.215199,1.753976,0.1623679,0.7893705
Cycle1:11:00-12:00,LFD,light,4,0.5889674,2.057652,1.543327,0.1358465,0.7451453
Cycle1:12:00-13:00,LFD,light,4,0.5273921,1.848056,1.362281,0.1232227,0.7329615
Cycle1:13:00-14:00,LFD,light,4,0.5729706,2.002796,1.497731,0.08913206,0.7438852
