Time,Diet,Cycle,MouseID,EE,VO2,VCO2,VH2O,RER,PedMeters,AllMeters
Cycle1:04:00-05:00,LFD,dark,1,0.514691,1.734041,1.577149,0.1057428,0.909522324,364.4252,440.7304
Cycle1:05:00-06:00,LFD,dark,1,0.6188934,2.085974,1.893371,0.1745558,0.907667593,387.6284,467.6635
Cycle2:06:00-07:00,LFD,light,1,0.549683,1.845768,1.70634,0.1856611,0.924460712,408.1438,492.5023
Cycle2:07:00-08:00,LFD,light,1,0.4225588,1.431269,1.267645,0.1473144,0.885679072,418.9153,506.3799
Cycle2:08:00-09:00,LFD,light,1,0.3947555,1.35654,1.114949,0.1054209,0.821906468,418.968,506.4515
Cycle2:09:00-10:00,LFD,light,1,0.4766814,1.637149,1.349625,0.1029995,0.824375179,420.3711,508.2378
Cycle2:10:00-11:00,LFD,light,1,0.4137226,1.44026,1.102453,0.1088607,0.765454154,423.9101,512.988
Cycle2:11:00-12:00,LFD,light,1,0.3705659,1.290059,0.9873187,0.06801465,0.76532833,425.181,514.4709
Cycle2:12:00-13:00,LFD,light,1,0.4023063,1.398343,1.079778,0.07617474,0.772183935,425.181,514.4709
Cycle2:13:00-14:00,LFD,light,1,0.4441337,1.510648,1.309914,0.07760702,0.8671206,427.4846,517.842
Cycle2:14:00-15:00,LFD,light,1,0.3685326,1.270038,1.02802,0.0593676,0.809440347,428.2616,519.0262
Cycle2:15:00-16:00,LFD,light,1,0.4846586,1.648266,1.430225,0.09759893,0.86771492,429.8964,521.0828
Cycle2:16:00-17:00,LFD,light,1,0.3990591,1.333211,1.262929,0.09688473,0.947283663,432.8814,524.942
Cycle2:17:00-18:00,LFD,light,1,0.4581664,1.531106,1.448481,0.08476759,0.946035741,433.4104,525.6187
Cycle2:18:00-19:00,LFD,dark,1,0.5248145,1.743603,1.695634,0.08283847,0.972488577,435.9567,528.6049
Cycle2:19:00-20:00,LFD,dark,1,0.5520928,1.832569,1.789686,0.1441726,0.976599517,447.9127,542.8109
Cycle2:20:00-21:00,LFD,dark,1,0.5942685,1.971255,1.931067,0.1526003,0.979612988,458.8566,555.6696
Cycle2:21:00-22:00,LFD,dark,1,0.5074228,1.68844,1.630112,0.1649616,0.965454502,472.0696,571.2881
Cycle2:22:00-23:00,LFD,dark,1,0.6057295,2.020154,1.929534,0.1871638,0.955142034,482.5999,584.2281
Cycle2:23:00-00:00,LFD,dark,1,0.486238,1.632877,1.508861,0.1659701,0.924050617,493.6261,597.8803
Cycle2:00:00-01:00,LFD,dark,1,0.5513712,1.842901,1.741997,0.193366,0.945247195,506.6423,613.3779
Cycle2:01:00-02:00,LFD,dark,1,0.5696744,1.896983,1.825102,0.18955,0.962107726,519.5497,628.9764
Cycle2:02:00-03:00,LFD,dark,1,0.4677895,1.580278,1.418278,0.1560913,0.897486392,526.0029,637.0126
Cycle2:03:00-04:00,LFD,dark,1,0.5232695,1.767219,1.5882,0.1466005,0.898700161,527.6038,638.9711
Cycle2:04:00-05:00,LFD,dark,1,0.5620762,1.887696,1.743696,0.1672964,0.923716531,532.8806,645.3882
Cycle2:05:00-06:00,LFD,dark,1,0.5882918,1.980931,1.806521,0.2014724,0.91195554,551.2197,668.2118
Cycle1:06:00-07:00,LFD,light,2,0.4162523,1.412443,1.239694,0.06613597,0.877694888,242.6258,279.0475
Cycle1:07:00-08:00,LFD,light,2,0.4499131,1.504991,1.417162,0.1116245,0.941641511,254.9438,294.5433
Cycle1:08:00-09:00,LFD,light,2,0.3401973,1.167984,0.964674,0.08057046,0.825930835,258.0831,298.4932
Cycle1:09:00-10:00,LFD,light,2,0.4322419,1.478665,1.244676,0.09130239,0.841756584,260.4923,301.4033
Cycle1:10:00-11:00,LFD,light,2,0.3434796,1.194355,0.9201704,0.08149747,0.770432911,263.8887,305.5699
Cycle1:11:00-12:00,LFD,light,2,0.4120136,1.430231,1.112436,0.08078492,0.777801628,264.5202,306.3474
Cycle1:12:00-13:00,LFD,light,2,0.3556271,1.244063,0.9260989,0.08905178,0.744414792,267.8724,310.7145
Cycle1:13:00-14:00,LFD,light,2,0.4073854,1.40183,1.143892,0.07957679,0.815999087,268.275,311.2281
Cycle1:14:00-15:00,LFD,light,2,0.3925246,1.312834,1.237068,0.07967968,0.94228821,272.1057,316.0757
Cycle1:15:00-16:00,LFD,light,2,0.4007313,1.35137,1.223423,0.057367,0.905320527,272.9601,317.2293
Cycle1:16:00-17:00,LFD,light,2,0.3475156,1.172543,1.05871,0.04437941,0.902917846,274.9051,319.7738
